objective,L,n_firms,test_windows,base_r2_499,ensemble_r2_499,delta_499,base_r2_50,ensemble_r2_50,delta_50
ridge_delta_v3,2,498,22,0.7453182935714722,0.7594908887922451,0.014172595220772966,0.7637068033218384,0.7830106019973755,0.0193037986755371
ridge_delta_v3,4,498,22,0.7505182027816772,0.7620078336824432,0.011489630900765935,0.7665095925331116,0.7772915363311768,0.0107819437980651
residual_delta_v3,2,498,22,0.6914174648553644,0.7090391605296136,0.017621695674249205,0.7206292413871016,0.7682309287156963,0.0476016873285947
residual_delta_v3,4,498,22,0.692864370051907,0.7130500777197157,0.020185707667808694,0.7218510088185127,0.765014480183666,0.0431634713651533
