Trial,Value,L,Rank,RegW,RMS_Scaling,Avg_RMS,Avg_Density,Centering,ValidFolds
56,0.37891,4,49,11.014532,True,1.535861,0.8499,FE_FIRMxFEAT,3
53,0.60876,4,40,12.227898,True,1.535861,0.8499,FE_FIRMxFEAT,3
58,0.54931,4,50,11.157604,True,1.535861,0.8499,FE_FIRMxFEAT,3
63,0.39732,4,50,13.040233,True,1.535861,0.8499,FE_FIRMxFEAT,3
60,0.28710,4,50,12.067928,False,1.000000,0.8499,FE_FIRMxFEAT,3
61,0.50211,4,50,11.714800,True,1.535861,0.8499,FE_FIRMxFEAT,3
64,0.45074,4,50,13.556213,True,1.535861,0.8499,FE_FIRMxFEAT,3
62,0.44531,4,50,11.102990,True,1.535861,0.8499,FE_FIRMxFEAT,3
65,0.53279,4,50,11.355785,True,1.535861,0.8499,FE_FIRMxFEAT,3
66,-0.06500,4,50,7.382245,False,1.000000,0.8499,FE_FIRMxFEAT,3
74,0.75767,4,45,82.190523,False,1.000000,0.8499,FE_FIRMxFEAT,3
68,-0.19234,4,46,3.954877,False,1.000000,0.8499,FE_FIRMxFEAT,3
73,0.76193,4,46,97.594556,False,1.000000,0.8499,FE_FIRMxFEAT,3
78,0.77323,4,45,84.549714,True,1.535861,0.8499,FE_FIRMxFEAT,3
79,0.77323,4,45,96.982894,True,1.535861,0.8499,FE_FIRMxFEAT,3
75,0.75996,4,46,90.297876,False,1.000000,0.8499,FE_FIRMxFEAT,3
76,0.75260,4,46,89.988404,False,1.000000,0.8499,FE_FIRMxFEAT,3
77,0.77323,4,46,87.523834,True,1.535861,0.8499,FE_FIRMxFEAT,3
84,0.77929,4,43,52.749369,True,1.535861,0.8499,FE_FIRMxFEAT,3
85,0.75775,2,43,46.355491,True,1.523860,0.8410,FE_FIRMxFEAT,3
83,0.77323,4,43,56.859130,True,1.535861,0.8499,FE_FIRMxFEAT,3
86,0.77987,2,43,52.437315,True,1.523860,0.8410,FE_FIRMxFEAT,3
87,0.73821,2,43,53.142749,True,1.523860,0.8410,FE_FIRMxFEAT,3
88,0.75622,2,48,52.751314,True,1.523860,0.8410,FE_FIRMxFEAT,3
93,0.57069,2,37,17.662591,True,1.523860,0.8410,FE_FIRMxFEAT,3
