gics_level,n_firms,n_gics_classes,n_ap_clusters,ari,nmi,ami,purity
gsector,289,11,27,0.13517273119479517,0.34868545145830243,0.2348339631640656,0.4740484429065744
ggroup,289,23,27,0.18176243501346703,0.43761426187195746,0.2582845169778458,0.3875432525951557
gind,289,55,27,0.14007790574896772,0.5311513578561881,0.2550045176930867,0.29411764705882354
gsubind,289,94,27,0.12101838376386118,0.5778595401810631,0.22285892435315116,0.25951557093425603
