mode,L,objective,trial_number,RANK_REGRESS,REG_W,USE_RMS_SCALING,GAMMA,FEATURE_TARGET_SCALE,FEATURE_X_SCALE,baseline_name,base_test_r2,ensemble_test_r2,test_delta
LEVELS,2,ridge_delta_v3,7853,4,23.34287970135385,True,0.7509670254434878,True,False,ridge_cp_matched_zero_filled,0.7637068033218384,0.7830106019973755,0.0193037986755371
LEVELS,4,ridge_delta_v3,1574,5,30.19513315484281,True,0.8433295392861322,True,False,ridge_cp_matched_zero_filled,0.7665095925331116,0.7772915363311768,0.0107819437980651
LEVELS,2,residual_delta_v3,2170,13,27.19065710890361,True,1.2630873093917183,True,False,firm_feature_fe,0.7206292413871016,0.7682309287156963,0.0476016873285947
LEVELS,4,residual_delta_v3,870,12,24.028228425676847,False,1.3516768277682027,True,False,firm_feature_fe,0.7218510088185127,0.765014480183666,0.0431634713651533
