quarter,mean_abs_time_factors,rms_time_factors,first_factor_abs
1990Q1,0.031675334957652665,0.04647640080454779,0.0009284517702469186
1990Q2,0.03433399156328032,0.04774994409755584,0.0008258694173083336
1990Q3,0.0356683727047923,0.049385876095960374,0.0011951545941816105
1990Q4,0.02956154017119959,0.04643496032573636,0.0006639026528031107
1991Q1,0.03297546483503166,0.047578964100842135,0.00210646274450751
1991Q2,0.032142868511751445,0.04749697459459395,0.002339428163407742
1991Q3,0.03189939910411945,0.04837241710231898,0.0026359717354493754
1991Q4,0.028353614423107874,0.045502467686516924,0.0016243874696522018
1992Q1,0.031805819252779956,0.05042178662730614,0.003195132895476917
1992Q2,0.032693806682921635,0.0530464721854717,0.003013033668804004
1992Q3,0.03907699195205334,0.0591810648418616,0.0032746742037266445
1992Q4,0.024270998282127705,0.04108792770625316,0.003496579815639225
1993Q1,0.03899496704938278,0.058811946531749225,0.004666458624427099
1993Q2,0.04094856003530613,0.06097504538257783,0.004807630280592275
1993Q3,0.044791821330146794,0.06397510849277038,0.005418076260757044
1993Q4,0.031215576318296162,0.043580561424058646,0.006253875542496352
1994Q1,0.038425811503097006,0.04781351863459365,0.008595187272832379
1994Q2,0.03661609384329742,0.04591112988562704,0.008484582962384248
1994Q3,0.0340578384263817,0.044392616417836143,0.008632044743607544
1994Q4,0.024319699336175227,0.03501417708228801,0.00634259264815345
1995Q1,0.03450495352504461,0.04529827433287843,0.007470874889405299
1995Q2,0.04099892273088451,0.05545163906263007,0.008881241906620296
1995Q3,0.041963930389174696,0.05536498063426212,0.008805981493845594
1995Q4,0.03837564385313544,0.049051143874923715,0.008737201610620745
1996Q1,0.04092767238116974,0.05533839017450238,0.009496436204207166
1996Q2,0.04266968868846751,0.05710145472229858,0.009668959393843934
1996Q3,0.0416745566754854,0.05692425429346142,0.010067308792469884
1996Q4,0.044356532322619026,0.056218746206560165,0.00956774670453563
1997Q1,0.04157091180744279,0.0586097032888365,0.011067959182214425
