quarter,MFI
1990Q1,0.028920280796194447
1990Q2,0.029320006884905308
1990Q3,0.030418274357810457
1990Q4,0.027290056427786605
1991Q1,0.03125743170835673
1991Q2,0.03090285344108378
1991Q3,0.031593298203560743
1991Q4,0.028769784433638666
1992Q1,0.032009987277751055
1992Q2,0.032902955077504556
1992Q3,0.03251526291040267
1992Q4,0.030170953775435
1993Q1,0.03646899183965775
1993Q2,0.03528102585831018
1993Q3,0.03296001605710907
1993Q4,0.029867753160947037
1994Q1,0.03175864371160854
1994Q2,0.02973437137590802
1994Q3,0.028785648508599743
1994Q4,0.025734293759029532
1995Q1,0.03009756889268004
1995Q2,0.031524675669580976
1995Q3,0.031491382125814295
1995Q4,0.02837443474200373
1996Q1,0.033069132590813025
1996Q2,0.035598071265539113
1996Q3,0.035525681847510454
1996Q4,0.035370388143720434
1997Q1,0.03558046944543087
1997Q2,0.037883246102044896
1997Q3,0.03869691045730087
1997Q4,0.04566107926132276
1998Q1,0.04245130623294603
1998Q2,0.04932654101523163
1998Q3,0.04274826733342249
1998Q4,0.06322440080646141
1999Q1,0.057870636312556636
1999Q2,0.06167330581335108
1999Q3,0.05763732509067551
1999Q4,0.06110619802465104
2000Q1,0.06264067503595347
2000Q2,0.06521141820674049
2000Q3,0.06217294047902343
2000Q4,0.0502235723699382
2001Q1,0.07472055907970161
2001Q2,0.07248044230337446
2001Q3,0.09724630965985193
2001Q4,0.07318707216943338
2002Q1,0.06840967245335258
2002Q2,0.05234871227797891
2002Q3,0.04990780042667413
2002Q4,0.06429216263490521
2003Q1,0.05354289328062277
2003Q2,0.05535445543963999
2003Q3,0.05530979970889497
2003Q4,0.06282546918669862
2004Q1,0.06485596261134377
2004Q2,0.05862756716712454
2004Q3,0.07067941375547053
2004Q4,0.06871875584549941
2005Q1,0.0677753529547535
2005Q2,0.06740237462922044
2005Q3,0.06300320562982681
2005Q4,0.07061099506139779
2006Q1,0.05707392915664469
2006Q2,0.09354076404810481
2006Q3,0.14718591299189063
2006Q4,0.11449227094546054
2007Q1,0.08266205466638149
2007Q2,0.09096108207665374
2007Q3,0.10466959300015516
2007Q4,0.08296181672753736
2008Q1,0.09146169607640389
2008Q2,0.07411662214335626
2008Q3,0.09466149272558602
2008Q4,0.14891200889196715
2009Q1,0.1029843801384495
2009Q2,0.06911454736678642
2009Q3,0.06566467955462812
2009Q4,0.06045873752198277
2010Q1,0.06839121945391063
2010Q2,0.07405504855000208
2010Q3,0.07528893109881435
2010Q4,0.06459117619846802
2011Q1,0.06719004231247473
2011Q2,0.06482649941127083
2011Q3,0.07073891953878578
2011Q4,0.057862954681252424
2012Q1,0.05421436719558662
2012Q2,0.055872540691368516
2012Q3,0.062372741591751144
2012Q4,0.06434076640301917
2013Q1,0.0570391538780734
2013Q2,0.05699210010793518
2013Q3,0.05183245752807834
2013Q4,0.052547877798606826
2014Q1,0.04499888594339034
2014Q2,0.04932141098749457
2014Q3,0.04733720407509122
2014Q4,0.056099496855052465
2015Q1,0.0612028661572324
2015Q2,0.051022723939074734
2015Q3,0.04567038280231574
2015Q4,0.04676521076608377
2016Q1,0.05684352225406761
2016Q2,0.0578114681059882
2016Q3,0.05528261347315104
2016Q4,0.04714996131799953
2017Q1,0.05804914567029153
2017Q2,0.05482156920410145
2017Q3,0.0594200993838149
2017Q4,0.059961839519899585
2018Q1,0.058541575443450136
2018Q2,0.06939318032243451
2018Q3,0.06933110330038919
2018Q4,0.07535493934893578
2019Q1,0.07262848587786996
2019Q2,0.07928829611899442
2019Q3,0.08366062661012558
2019Q4,0.08207074474544931
2020Q1,0.11473097656071665
2020Q2,0.10833874155528478
2020Q3,0.08315959636902825
2020Q4,0.08949598036602895
2021Q1,0.09144528975647516
2021Q2,0.08471985416147018
2021Q3,0.08901979447208644
2021Q4,0.0808747036565993
2022Q1,0.09759441190814339
2022Q2,0.09769877350485351
2022Q3,0.09319565934589066
2022Q4,0.0899751665286623
2023Q1,0.06328837135219738
2023Q2,0.07282213397505909
2023Q3,0.06530116953749308
2023Q4,0.08037341016272234
2024Q1,0.07982442165654055
2024Q2,0.10107174099004367
2024Q3,0.11829129090980031
2024Q4,0.12346335824558395
