quarter,MFI
1990Q1,0.02924292114043599
1990Q2,0.029782096331463344
1990Q3,0.030312058549977473
1990Q4,0.027611778534269542
1991Q1,0.026068050293408262
1991Q2,0.02568443643374561
1991Q3,0.025774064941051705
1991Q4,0.02594992434773854
1992Q1,0.026465482938407354
1992Q2,0.028776251828548628
1992Q3,0.03279673757702926
1992Q4,0.024575599170700523
1993Q1,0.03590399136760501
1993Q2,0.0371687878903032
1993Q3,0.04181325174916874
1993Q4,0.031191440758676164
1994Q1,0.035819481502357135
1994Q2,0.03381416562797781
1994Q3,0.03154113648677232
1994Q4,0.027981511719850326
1995Q1,0.03166136993404746
1995Q2,0.04126452403432814
1995Q3,0.04123927707130205
1995Q4,0.03903622904404321
1996Q1,0.041120303992209596
1996Q2,0.041476598270755755
1996Q3,0.04210785318671251
1996Q4,0.04621474378260979
1997Q1,0.04500252866908165
1997Q2,0.04531467296175546
1997Q3,0.04732241741499508
1997Q4,0.0570624348891418
1998Q1,0.0468930473594037
1998Q2,0.053972934557416787
1998Q3,0.058217004009408144
1998Q4,0.07620335339284909
1999Q1,0.049766130837087995
1999Q2,0.05949119585617112
1999Q3,0.05102174319323934
1999Q4,0.06050124167913771
2000Q1,0.05205567727708438
2000Q2,0.05507165041956349
2000Q3,0.057301627976704864
2000Q4,0.06802875497393715
2001Q1,0.07027230575445312
2001Q2,0.06793794483354743
2001Q3,0.09419747834456929
2001Q4,0.07052459599637882
2002Q1,0.06792047224455092
2002Q2,0.05702348997389932
2002Q3,0.05241981038617867
2002Q4,0.06273365869178135
2003Q1,0.04761162056287962
2003Q2,0.04953541122142341
2003Q3,0.05611845076272891
2003Q4,0.05576607862692391
2004Q1,0.06635304926939474
2004Q2,0.05233295600340435
2004Q3,0.06322862723911546
2004Q4,0.06578153880270839
2005Q1,0.06889912636130323
2005Q2,0.06209088676059253
2005Q3,0.0729499967654518
2005Q4,0.08293113241266122
2006Q1,0.07386825404137116
2006Q2,0.08769481072274454
2006Q3,0.13017138786046423
2006Q4,0.14141734326737265
2007Q1,0.07467984201300831
2007Q2,0.08298529050123864
2007Q3,0.09118832877696713
2007Q4,0.0797268681051934
2008Q1,0.08615368873537944
2008Q2,0.08546013340669767
2008Q3,0.12543796537265384
2008Q4,0.12470895842940743
2009Q1,0.12298060393810921
2009Q2,0.06969896142133908
2009Q3,0.07708473712371049
2009Q4,0.06704458693168819
2010Q1,0.08070059784542251
2010Q2,0.07514912831493657
2010Q3,0.07452827966504684
2010Q4,0.06053816803150046
2011Q1,0.08187528470206154
2011Q2,0.06885502228390068
2011Q3,0.08200315617538195
2011Q4,0.06687483031059674
2012Q1,0.060843402699083705
2012Q2,0.057983618826261296
2012Q3,0.06400853742978252
2012Q4,0.06819603128536236
2013Q1,0.05023730825732048
2013Q2,0.04917224013790951
2013Q3,0.052764456405167304
2013Q4,0.05562928792709525
2014Q1,0.06042570804877233
2014Q2,0.06054071930649203
2014Q3,0.05529235298493692
2014Q4,0.0608783758434601
2015Q1,0.0614234517614647
2015Q2,0.05405641235726544
2015Q3,0.044214171015441665
2015Q4,0.04506225942662953
2016Q1,0.04674716785011113
2016Q2,0.052828317058537
2016Q3,0.0534816369705464
2016Q4,0.05123634965256868
2017Q1,0.0607777148224791
2017Q2,0.05710689207249266
2017Q3,0.05568993589006853
2017Q4,0.056547228195068064
2018Q1,0.05766020606205171
2018Q2,0.06623263933822826
2018Q3,0.06751836644245676
2018Q4,0.07007135867238794
2019Q1,0.06652190028844854
2019Q2,0.07168786825172696
2019Q3,0.07807244585838205
2019Q4,0.08375331873531218
2020Q1,0.12593380096945167
2020Q2,0.0911151114182642
2020Q3,0.07446792275625966
2020Q4,0.07360363089180251
2021Q1,0.08498317529953454
2021Q2,0.088516005124456
2021Q3,0.08122936805833694
2021Q4,0.08298049434166235
2022Q1,0.08869653943371818
2022Q2,0.09142056897592091
2022Q3,0.08754727326030672
2022Q4,0.09101511699207836
2023Q1,0.06645908552201625
2023Q2,0.07911306507388996
2023Q3,0.07207387798269187
2023Q4,0.07912481666958864
2024Q1,0.07437375755438885
2024Q2,0.08203290255524456
2024Q3,0.1091866098795323
2024Q4,0.11280594690674454
